"","V1","V2","V3"
"1",126749.486489869,125306.709292499,119737.353544913
"2",126687.510009236,118320.603579527,118401.076128174
"3",137081.81358203,120131.51453806,118147.904716745
"4",126409.06427655,123377.275153431,118427.469074378
"5",124873.610318458,122511.986372186,121115.181680217
"6",122223.243526886,116756.738278177,119619.989700302
"7",119462.344505411,109799.595249307,119234.681426356
"8",138114.343199664,118810.011848498,117051.21176346
"9",124983.660635075,124039.059487655,120765.578506196
"10",133543.350595691,117728.433397718,118695.053722003
"11",131019.077249738,129335.116567761,117795.122189255
"12",126280.907622637,122181.184490008,118615.177448871
"13",122852.740212076,120950.056708316,119410.677752725
"14",119545.205600136,123546.970738152,119166.839288487
"15",127502.042378758,122740.397337329,120821.400927381
"16",124673.779504633,121789.960493981,119217.459500163
"17",113098.867457328,119641.719847772,121506.715731902
"18",119957.565759304,124014.895181443,120294.41424385
"19",132688.41787786,120413.212416032,114446.709155716
"20",120926.624152626,123424.733754798,119024.239486458
"21",124846.46583168,121708.763822699,120405.171751113
"22",115822.282851403,120016.87248102,120855.26762277
"23",135831.667640333,124667.901510036,120631.643729591
"24",130825.915229498,118173.399743105,118429.670873695
"25",128782.951115264,120532.012608949,118376.967992794
"26",128845.3183705,124962.812551024,120340.949104159
"27",127865.312641953,117640.256419825,117275.762748649
"28",130344.294722425,124965.557728944,116003.087508036
"29",128215.093288713,116512.681287059,120677.849392447
"30",124397.817442428,121214.466365228,117565.505074801
